date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:35	21324/21324	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:17%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/198/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/198/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/198)
09:01:36	275209/275209	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2009:01:09%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/198/136	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/198/198-597-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/198)
09:01:36	6543/6543	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:19%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/198/136	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/198/136.html	(from http://www.jpp.org.in/index.php/jpp/article/view/198/136)
09:01:38	3924/3924	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:21%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/119/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/119/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/119)
09:01:39	6326/6326	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:22%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/119/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/119/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/119)
09:01:40	17357/17357	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:23%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/119/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/119/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/119)
09:01:41	6336/6336	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:24%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/119/101	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/119/101.html	(from http://www.jpp.org.in/index.php/jpp/article/view/119/101)
09:01:42	3941/3941	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:25%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/111/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/111/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/111)
09:01:44	6360/6360	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:27%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/111/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/111/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/111)
09:01:45	17437/17437	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:28%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/111/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/111/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/111)
09:01:46	3927/3927	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:29%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/112/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/112/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/112)
09:01:47	6332/6332	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:30%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/112/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/112/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/112)
